RANKING;REGION;IATA;CIUDAD;PAIS;Passengers 2011;Passengers 2010;% Change
1;NAM;ATL;ATLANTA GA;ESTADOS UNIDOS;92365860;89292748;3.3
2;ASP;PEK;BEIJING;CHINA;77403668;73913402;4.5
3;EUR;LHR;LONDON;GRAN BRETAÑA;69433565;65884143;5.1
4;NAM;ORD;CHICAGO IL;ESTADOS UNIDOS;66561023;66904971;-0.5
5;ASP;HND;TOKYO;JAPON;62263025;64117894;-3.0
6;NAM;LAX;LOS ANGELES CA;ESTADOS UNIDOS;61848449;58995672;4.6
7;EUR;CDG;PARIS;FRANCIA;60970551;58166563;4.6
8;NAM;DFW;DALLAS/FORT WORTH TX;ESTADOS UNIDOS;57806152;56905066;1.6
9;EUR;FRA;FRANKFURT;ALEMANIA;56436255;53009221;6.1
10;ASP;HKG;HONG KONG;HONG KONG;53314213;50359536;5.5
11;NAM;DEN;DENVER CO;ESTADOS UNIDOS;52699298;52209203;0.9
12;MEA;DXB;DUBAI;EMIRATOS ARABES;50977960;47180628;7.4
13;ASP;CGK;JAKARTA;INDONESIA;50446618;43981022;14.7
14;EUR;AMS;AMSTERDAM;HOLANDA;49754910;45211749;9.1
15;EUR;MAD;MADRID;ESPAÑA;49644302;49842726;-0.4
16;ASP;BKK;BANGKOK;TAILANDIA;47910744;42784967;10.7
17;NAM;JFK;NEW YORK NY;ESTADOS UNIDOS;47854283;46493667;2.8
18;ASP;SIN;SINGAPORE;SINGAPUR;46543845;42038777;9.7
19;ASP;CAN;GUANGZHOU;CHINA;45400156;40975253;9.7
20;NAM;LAS;LAS VEGAS NV;ESTADOS UNIDOS;41479572;39757359;4.2
21;ASP;PVG;SHANGHAI;CHINA;41450211;40387640;2.6
22;NAM;SFO;SAN FRANCISCO CA;ESTADOS UNIDOS;40907389;39254110;4.0
23;NAM;PHX;PHOENIX AZ;ESTADOS UNIDOS;40565677;38552409;5.0
24;NAM;IAH;HOUSTON TX;ESTADOS UNIDOS;40170844;40475669;-0.8
25;NAM;CLT;CHARLOTTE NC;ESTADOS UNIDOS;39043708;38143078;2.3
26;NAM;MIA;MIAMI FL;ESTADOS UNIDOS;38314389;35698025;6.8
27;EUR;MUC;MUNICH;ALEMANIA;37763701;34721605;8.1
28;ASP;KUL;KUALA LUMPUR;MALASIA;37670586;34087636;9.5
29;EUR;FCO;ROME;ITALIA;37651222;36227778;3.8
30;EUR;IST;ISTANBUL;TURQUIA;37398221;32165817;14.0
31;ASP;SYD;SYDNEY;AUSTRALIA;36022614;35992172;0.1
32;NAM;MCO;ORLANDO FL;ESTADOS UNIDOS;35356991;34877507;1.4
33;ASP;ICN;INCHEON;KOREA;35191825;33605579;4.5
34;ASP;DEL;NEW DELHI;INDIA;34729467;28531607;17.8
35;EUR;BCN;BARCELONA;ESPAÑA;34387597;29197135;15.1
36;EUR;LGW;LONDON;GRAN BRETAÑA;33668048;31378644;6.8
37;NAM;EWR;NEWARK NJ;ESTADOS UNIDOS;33577154;33133852;1.3
38;NAM;YYZ;TORONTO ON;CANADA;33434199;31937895;4.5
39;ASP;SHA;SHANGHAI;CHINA;33112442;31298812;5.5
40;NAM;MSP;MINNEAPOLIS MN;ESTADOS UNIDOS;33074443;32749649;1.0
41;NAM;SEA;SEATTLE WA;ESTADOS UNIDOS;32820060;31553166;3.9
42;NAM;DTW;DETROIT MI;ESTADOS UNIDOS;32419181;32377064;0.1
43;NAM;PHL;PHILADELPHIA PA;ESTADOS UNIDOS;30839130;30775271;0.2
44;ASP;BOM;MUMBAI;INDIA;30439122;28137797;7.6
45;LAC;GRU;SAO PAULO;BRASIL;30371131;27432346;9.7
